seed,k,p_safety_bounded
0,1,1.0
0,2,1.0
0,3,1.0
0,4,0.9999999999999999
0,5,0.9999999999999997
0,6,0.9999999999999997
0,7,0.9999999999999997
0,8,0.9999996813623292
0,9,0.9999917403913582
0,10,0.9999658558742615
0,11,0.9999079091783357
0,12,0.9997942587862824
0,13,0.9996137882986397
0,14,0.9993412237813972
0,15,0.9989708759611728
0,16,0.9984834915674556
0,17,0.9978771215739185
0,18,0.9971401595686025
0,19,0.9962734045892487
0,20,0.9952717529340189
1,1,1.0
1,2,1.0
1,3,1.0
1,4,1.0
1,5,1.0
1,6,1.0
1,7,1.0
1,8,1.0
1,9,1.0
1,10,1.0
1,11,1.0
1,12,1.0
1,13,1.0
1,14,1.0
1,15,1.0
1,16,1.0
1,17,1.0
1,18,1.0
1,19,1.0
1,20,1.0
2,1,1.0
2,2,1.0
2,3,0.9999999999999997
2,4,0.9980243199999996
2,5,0.9955010943999996
2,6,0.9937419489279995
2,7,0.9926061564620794
2,8,0.9919105263078396
2,9,0.9914838023818545
2,10,0.9912230171382723
2,11,0.991063225110697
2,12,0.9909653269476646
2,13,0.9909053084935768
2,14,0.9908685133530875
2,15,0.9908459526852812
2,16,0.9908321198964459
2,17,0.9908236383043658
2,18,0.9908184378222047
2,19,0.9908152491376088
2,20,0.9908132939919053
3,1,1.0
3,2,1.0
3,3,1.0
3,4,1.0
3,5,1.0
3,6,1.0
3,7,0.9999999999999997
3,8,0.9999996098314237
3,9,0.9999944908955729
3,10,0.9999795071424662
3,11,0.9999366420965852
3,12,0.9998614557948298
3,13,0.9997236828803852
3,14,0.9995221211982666
3,15,0.9992256292073465
3,16,0.9988344924110851
3,17,0.9983210315134297
3,18,0.9976879700188793
3,19,0.9969227578419482
3,20,0.9960271896051592
4,1,1.0
4,2,1.0
4,3,1.0
4,4,1.0
4,5,0.9999999999999997
4,6,0.9999999999999998
4,7,0.9999969021337596
4,8,0.9999929103118332
4,9,0.9999868727686264
4,10,0.9999802326436276
4,11,0.9999721291559057
4,12,0.999962833532802
4,13,0.999952784316392
4,14,0.9999426682853891
4,15,0.9999330626886169
4,16,0.9999241872170568
4,17,0.9999161923973725
4,18,0.9999092348711102
4,19,0.9999033218469391
4,20,0.9998983617093984
5,1,1.0
5,2,1.0
5,3,1.0
5,4,0.9999999999999997
5,5,0.9997177599999997
5,6,0.9991609569279997
5,7,0.9986913185996795
5,8,0.9983169458900986
5,9,0.9980454775431202
5,10,0.997855730660868
5,11,0.9977271433453205
5,12,0.9976405797186827
5,13,0.9975826115080524
5,14,0.9975437786909481
5,15,0.9975177576882638
5,16,0.997500297426748
5,17,0.9974885689054814
5,18,0.9974806816734196
5,19,0.9974753731193746
5,20,0.9974717975992521
6,1,1.0
6,2,1.0
6,3,1.0
6,4,1.0
6,5,0.9999999999999998
6,6,0.9999999999999998
6,7,0.9999999999999998
6,8,0.9999999999999998
6,9,0.9999999999999998
6,10,0.9999999999999998
6,11,0.9999999999999998
6,12,0.9999999999999998
6,13,0.9999999999999998
6,14,0.9999999999999998
6,15,0.9999999999999998
6,16,0.9999999999999998
6,17,0.9999999999999998
6,18,0.9999999999999998
6,19,0.9999999999999998
6,20,0.9999999999999998
7,1,1.0
7,2,1.0
7,3,1.0
7,4,1.0
7,5,0.9999032320000001
7,6,0.9998258175999997
7,7,0.9997422076825597
7,8,0.9993856901613565
7,9,0.998548424275566
7,10,0.997651062287465
7,11,0.9965906516926143
7,12,0.9954504706486322
7,13,0.9942060406941863
7,14,0.992887094549186
7,15,0.9914888143234777
7,16,0.9900151420288814
7,17,0.9884669194465358
7,18,0.9868390325469607
7,19,0.9851333276526254
7,20,0.9833439859261208
8,1,1.0
8,2,0.9999999999999999
8,3,0.9999999999999997
8,4,0.9999999999999997
8,5,0.9999999999999997
8,6,0.9999999999999996
8,7,0.9999999999999996
8,8,0.9999989940514813
8,9,0.9999797460832098
8,10,0.9999230386936137
8,11,0.9998063800024838
8,12,0.9995937191003678
8,13,0.9992739407501828
8,14,0.9988102825865494
8,15,0.9982163383423616
8,16,0.9974550604387422
8,17,0.9965509478670243
8,18,0.9954980220331746
8,19,0.9943018740376405
8,20,0.992953325377313
9,1,1.0
9,2,1.0
9,3,0.9979840000000001
9,4,0.9872185599999999
9,5,0.9757062015999999
9,6,0.9592212712959998
9,7,0.9460482697369598
9,8,0.9334629238143998
9,9,0.9232318059430353
9,10,0.9140955779009783
9,11,0.9064336063625397
9,12,0.8997408232022086
9,13,0.8940465421132652
9,14,0.8891176314439385
9,15,0.8848984284592213
9,16,0.8812604126971607
9,17,0.8781382454420472
9,18,0.8754505592834602
9,19,0.8731414845178109
9,20,0.8711732193267504
10,1,1.0
10,2,0.9832
10,3,0.976816
10,4,0.9680956799999998
10,5,0.9628183743999997
10,6,0.9579200956159997
10,7,0.9544278424857596
10,8,0.9515066198857213
10,9,0.9492985829868694
10,10,0.9475689809075756
10,11,0.9462687942335835
10,12,0.9452836239977982
10,13,0.9445503992127994
10,14,0.9440075355775118
10,15,0.9436097526417769
10,16,0.943320145499125
10,17,0.9431107648974635
10,18,0.9429602071458558
10,19,0.9428524977892865
10,20,0.9427757738674177
11,1,1.0
11,2,1.0
11,3,1.0
11,4,1.0
11,5,1.0
11,6,1.0
11,7,1.0
11,8,1.0
11,9,1.0
11,10,1.0
11,11,1.0
11,12,1.0
11,13,1.0
11,14,1.0
11,15,1.0
11,16,1.0
11,17,1.0
11,18,1.0
11,19,1.0
11,20,1.0
12,1,1.0
12,2,1.0
12,3,1.0
12,4,1.0
12,5,0.9982356735999999
12,6,0.9964510996479998
12,7,0.991420938127166
12,8,0.9858919650094603
12,9,0.9776090771847226
12,10,0.9679715144868613
12,11,0.9562879669444921
12,12,0.9428649617270204
12,13,0.9277827146550083
12,14,0.910960671818579
12,15,0.8927089248971997
12,16,0.8729314866561046
12,17,0.8519465988858155
12,18,0.8297406592753098
12,19,0.8065839987213896
12,20,0.7825370336590071
13,1,1.0
13,2,1.0
13,3,1.0
13,4,1.0
13,5,0.9991645696
13,6,0.9985436415999998
13,7,0.9963824075161599
13,8,0.9943224493834237
13,9,0.9907901113310669
13,10,0.9870963819002889
13,11,0.9823000592330475
13,12,0.9772216895082787
13,13,0.9714527547518857
13,14,0.9654540648408292
13,15,0.9590960479908598
13,16,0.9526350865828157
13,17,0.9460600717638146
13,18,0.9395430580906067
13,19,0.9331074473864351
13,20,0.9268797930453324
14,1,1.0
14,2,1.0
14,3,1.0
14,4,1.0
14,5,1.0
14,6,0.9999999999999999
14,7,0.9999852086886397
14,8,0.9998361663913979
14,9,0.9993973254601765
14,10,0.9986764139657215
14,11,0.9980003008302382
14,12,0.9970678117713481
14,13,0.9959827343799188
14,14,0.9945946310749484
14,15,0.9929681542757101
14,16,0.9910956534767615
14,17,0.9889236946458796
14,18,0.9865594549700362
14,19,0.9839283480548439
14,20,0.9810874937254065
15,1,1.0
15,2,0.9999999999999998
15,3,0.9999999999999998
15,4,0.9999999999999998
15,5,0.9999999999999998
15,6,0.9999889361919998
15,7,0.9998909785907198
15,8,0.9997154229022717
15,9,0.9992740811693603
15,10,0.9985507308357968
15,11,0.9972721392461522
15,12,0.9953500235351094
15,13,0.992505773779404
15,14,0.988756963250164
15,15,0.9838084329202218
15,16,0.9776473832705582
15,17,0.9700511900684424
15,18,0.9610356826942479
15,19,0.9504709573142722
15,20,0.9383919205111253
16,1,1.0
16,2,1.0
16,3,1.0
16,4,1.0
16,5,0.9994193919999997
16,6,0.9973767715839997
16,7,0.9955100148428797
16,8,0.993251349106278
16,9,0.9911634595610703
16,10,0.989021622014741
16,11,0.987023266749252
16,12,0.9851352710056008
16,13,0.9834264950344771
16,14,0.9818806844422823
16,15,0.9805112828573711
16,16,0.9793007140979714
16,17,0.9782417120118518
16,18,0.9773080744486904
16,19,0.9764882723357912
16,20,0.9758084107307743
17,1,1.0
17,2,1.0
17,3,1.0
17,4,0.99951616
17,5,0.9985646079999999
17,6,0.9964860574873596
17,7,0.9940325424050204
17,8,0.9907170652547237
17,9,0.9872219505088725
17,10,0.9833284858804902
17,11,0.9794244777223613
17,12,0.9754373798141805
17,13,0.972078584348092
17,14,0.9689893682180769
17,15,0.9663411067387877
17,16,0.9639821634120228
17,17,0.9619437298666176
17,18,0.9601545022731732
17,19,0.9586046767288892
17,20,0.9574822576471511
18,1,1.0
18,2,1.0
18,3,1.0
18,4,0.9997177600000001
18,5,0.9995032576
18,6,0.9979326753279999
18,7,0.9964954860236798
18,8,0.9935172457722876
18,9,0.9904667364308865
18,10,0.9861689152773728
18,11,0.9816150037019322
18,12,0.9762069730427707
18,13,0.9705179926352012
18,14,0.9643118529861474
18,15,0.9579105895637038
18,16,0.9512623714258285
18,17,0.9445513928472848
18,18,0.9378001286472789
18,19,0.9311183572941654
18,20,0.9245796620308971
19,1,1.0
19,2,1.0
19,3,1.0
19,4,0.9999999999999997
19,5,0.9999999999999998
19,6,0.9999999999999998
19,7,0.9999999999999998
19,8,0.999998689219379
19,9,0.999992950861496
19,10,0.9999797761985311
19,11,0.9999486544635708
19,12,0.9998970211229407
19,13,0.9998080425866244
19,14,0.999680332184142
19,15,0.9994947739111193
19,16,0.9992501697972065
19,17,0.9989295794518632
19,18,0.998531292557528
19,19,0.9980420652735569
19,20,0.9974603043979009
